source_code,name,category_code,brand,price,currency,size,description
I001,Basmati Rice,DRY,North Farm,2.40,GBP,1 kg,Long-grain aromatic rice.
I002,Wholewheat Pasta,DRY,Pasta House,1.35,GBP,500 g,Wholewheat penne for quick meals.
I003,Red Lentils,DRY,North Farm,1.10,GBP,500 g,Fast-cooking red lentils.
I004,Porridge Oats,DRY,Morning Mill,1.20,GBP,1 kg,Scottish oats for breakfast.
I005,Couscous,DRY,Golden Grain,1.05,GBP,500 g,Quick-cook couscous.
I006,Apple Juice,DRK,Fresh Press,1.75,GBP,1 L,Pressed cloudy apple juice.
I007,Orange Juice,DRK,Fresh Press,1.80,GBP,1 L,Smooth orange juice.
I008,Green Tea,DRK,Leaf & Co,2.95,GBP,20 bags,Light green tea bags.
I009,Ground Coffee,DRK,Bean Yard,3.60,GBP,250 g,Medium roast ground coffee.
I010,Still Water,DRK,Spring Vale,0.65,GBP,1.5 L,Natural still spring water.
I011,Dark Chocolate,SNK,Cocoa Lane,1.60,GBP,100 g,70 percent cocoa chocolate bar.
I012,Sea Salt Crisps,SNK,Crunch Works,1.25,GBP,150 g,Sea salt potato crisps.
I013,Oat Biscuits,SNK,Tea Table,1.10,GBP,200 g,Oat biscuits for tea time.
I014,Trail Mix,SNK,Nut Path,2.50,GBP,250 g,Mix of nuts and dried fruit.
I015,Popcorn,SNK,Movie Night,0.95,GBP,90 g,Lightly salted popcorn.
I016,Sourdough Loaf,BAK,Daily Bread,2.75,GBP,1 loaf,Slow-fermented sourdough loaf.
I017,Bagels,BAK,Daily Bread,1.90,GBP,5 pack,Plain sliced bagels.
I018,Croissants,BAK,Butter Corner,2.20,GBP,4 pack,All-butter croissants.
I019,Tortilla Wraps,BAK,Kitchen Fold,1.50,GBP,8 pack,Soft wheat tortilla wraps.
I020,Blueberry Muffins,BAK,Butter Corner,2.80,GBP,4 pack,Soft muffins with blueberries.
I021,Frozen Peas,FRZ,Cold Field,1.15,GBP,500 g,Sweet garden peas.
I022,Frozen Berries,FRZ,Cold Field,3.20,GBP,400 g,Mixed berries for smoothies.
I023,Vegetable Pizza,FRZ,Stone Oven,3.95,GBP,1 pizza,Thin-crust vegetable pizza.
I024,Fish Fingers,FRZ,Harbour Catch,2.85,GBP,12 pack,Breaded fish fingers.
I025,Ice Cream Vanilla,FRZ,Sweet Scoop,3.40,GBP,900 ml,Classic vanilla ice cream.
I026,Dish Soap,HOU,Shine Home,1.30,GBP,500 ml,Lemon dishwashing liquid.
I027,Laundry Powder,HOU,Shine Home,4.50,GBP,1.2 kg,Laundry powder for colours.
I028,Paper Towels,HOU,Home Roll,2.10,GBP,2 rolls,Absorbent kitchen paper towels.
I029,Hand Soap,HOU,Clean Hands,1.45,GBP,250 ml,Gentle liquid hand soap.
I030,Bin Bags,HOU,Home Roll,2.35,GBP,20 bags,Drawstring bin bags.
I031,Brown Rice,DRY,North Farm,1.85,GBP,1 kg,Wholesome long-grain brown rice.
I032,White Pasta,DRY,Pasta House,1.10,GBP,500 g,Classic white spaghetti.
I033,Green Lentils,DRY,North Farm,1.20,GBP,500 g,Puy-style green lentils.
I034,Muesli,DRY,Morning Mill,2.40,GBP,750 g,Fruit and nut muesli.
I035,Pearl Barley,DRY,Golden Grain,0.95,GBP,500 g,Nutritious pearl barley.
I036,Canned Chickpeas,DRY,Harvest Tin,0.75,GBP,400 g,Ready-to-use chickpeas in water.
I037,Canned Tomatoes,DRY,Harvest Tin,0.70,GBP,400 g,Chopped plum tomatoes.
I038,Coconut Milk,DRY,Island Gold,1.35,GBP,400 ml,Full-fat coconut milk.
I039,Sunflower Oil,DRY,Clear Cook,2.20,GBP,1 L,Light sunflower cooking oil.
I040,Olive Oil,DRY,Groves of Italy,4.50,GBP,500 ml,Extra virgin cold-pressed olive oil.
I041,Dried Spaghetti,DRY,Pasta House,1.15,GBP,500 g,Traditional dried spaghetti.
I042,Mango Juice,DRK,Fresh Press,1.90,GBP,1 L,Tropical mango juice drink.
I043,Sparkling Water,DRK,Spring Vale,0.75,GBP,1.5 L,Natural carbonated spring water.
I044,Herbal Tea,DRK,Leaf & Co,2.80,GBP,20 bags,Chamomile and honey herbal tea.
I045,Instant Coffee,DRK,Bean Yard,3.20,GBP,100 g,Smooth instant coffee granules.
I046,Cranberry Juice,DRK,Fresh Press,2.10,GBP,1 L,Pure pressed cranberry juice.
I047,Pineapple Juice,DRK,Fresh Press,1.85,GBP,1 L,Unsweetened pineapple juice.
I048,Lemonade,DRK,Fizzy Vale,1.10,GBP,2 L,Classic carbonated lemonade.
I049,Energy Drink,DRK,Boost Up,1.45,GBP,250 ml,Citrus flavour energy drink.
I050,Hot Chocolate,DRK,Cocoa Lane,3.50,GBP,250 g,Rich drinking chocolate powder.
I051,Peppermint Tea,DRK,Leaf & Co,2.75,GBP,20 bags,Refreshing peppermint tea bags.
I052,Milk Chocolate Bar,SNK,Cocoa Lane,1.25,GBP,100 g,Creamy milk chocolate bar.
I053,Cheese Puffs,SNK,Crunch Works,1.30,GBP,100 g,Crunchy cheese-flavoured puffs.
I054,Rice Cakes,SNK,Light Bite,1.15,GBP,130 g,Lightly salted plain rice cakes.
I055,Granola Bar,SNK,Nut Path,1.80,GBP,40 g,Oat and honey granola bar.
I056,Salted Pretzels,SNK,Crunch Works,1.40,GBP,175 g,Crispy salted pretzel sticks.
I057,Fruit Gummies,SNK,Sweet Spot,0.95,GBP,150 g,Mixed fruit flavour gummies.
I058,Shortbread Fingers,SNK,Tea Table,1.50,GBP,200 g,Traditional Scottish shortbread.
I059,Cashew Nuts,SNK,Nut Path,3.10,GBP,150 g,Roasted and lightly salted cashews.
I060,Choc Chip Cookies,SNK,Tea Table,1.65,GBP,200 g,Classic chocolate chip cookies.
I061,Beef Jerky,SNK,Wild Snack,3.50,GBP,50 g,Smoky flavour beef jerky strips.
I062,Whole Grain Bread,BAK,Daily Bread,2.50,GBP,1 loaf,Seeded whole grain loaf.
I063,Pitta Bread,BAK,Kitchen Fold,1.35,GBP,6 pack,White pitta breads for dipping.
I064,Cinnamon Rolls,BAK,Butter Corner,3.20,GBP,4 pack,Soft baked cinnamon rolls.
I065,Seeded Baguette,BAK,Daily Bread,1.80,GBP,1 baguette,Crusty seeded baguette.
I066,Hot Cross Buns,BAK,Butter Corner,2.00,GBP,6 pack,Spiced hot cross buns.
I067,Flatbreads,BAK,Kitchen Fold,1.45,GBP,4 pack,Soft tandoor-style flatbreads.
I068,Danish Pastries,BAK,Butter Corner,3.50,GBP,4 pack,Assorted buttery Danish pastries.
I069,English Muffins,BAK,Daily Bread,1.70,GBP,6 pack,Fluffy English breakfast muffins.
I070,Rye Crispbread,BAK,Daily Bread,2.20,GBP,200 g,Crispy rye crispbread slices.
I071,Cheese Scones,BAK,Butter Corner,2.60,GBP,4 pack,Freshly baked cheese scones.
I072,Frozen Sweetcorn,FRZ,Cold Field,1.05,GBP,500 g,Sweet frozen sweetcorn kernels.
I073,Frozen Broccoli,FRZ,Cold Field,1.25,GBP,500 g,Tender frozen broccoli florets.
I074,Chicken Nuggets,FRZ,Harbour Catch,3.50,GBP,500 g,Crispy breaded chicken nuggets.
I075,Frozen Chips,FRZ,Cold Field,2.10,GBP,1 kg,Oven-bake straight cut chips.
I076,Prawn Toast,FRZ,Golden Wok,2.95,GBP,200 g,Chinese-style sesame prawn toast.
I077,Vegetable Stir Fry Mix,FRZ,Cold Field,1.85,GBP,600 g,Ready-mixed stir fry vegetables.
